,Grain C kgC/ha,Above G Biomass kg/ha,Total N Amount kgN/ha,GS_P,GS_T,MAP mm,MAT degC,Organic C gC/kg,pH,Sand %,Clay %
count,5781.0,5183.0,5781.0,4981.0,4969.0,5781.0,5781.0,542.0,3927.0,317.0,101.0
mean,2637.943660896471,11737.750353806485,109.14404186126968,462.78087971676365,19.46151200798229,405.70835495589,10.750216225566511,26.222261354797045,6.257046091163738,20.66065092555205,28.692079207920788
std,1333.6045575065928,5393.447245308075,81.00697499457819,216.29737117052716,1.699273821380315,367.4921528447718,1.0378578075396212,7.060227110222847,0.6292315002129938,14.336769286543003,4.821466232761911
min,38.363288,703.33,0.0,0.0,-2.550009259,74.0,8.0,10.167621,4.4,5.849859168,23.0
25%,1446.48,6882.88,33.592,382.27,19.06168478,74.0,10.5,22.2902,5.83,8.519364276,23.0
50%,2546.89,11360.44,112.0,461.01,19.45216938,74.0,11.0,25.7737,6.31,14.06303362,26.0
75%,3715.95,15977.380000000001,179.34,588.01,20.41125302,765.0,11.0,29.669,6.705,28.0,33.7
max,7703.28754,30946.11,1064.0,963.422,25.81257485,1300.0,17.3,44.4,7.96,48.0,33.7
