SiteID,Exp Unit ID,Treatment ID,Crop,Grain C kgC/ha,Above G Biomass kg/ha,Year,Tillage Descriptor,Cover Crop,Residue Removal,MAP mm,MAT degC,Total N Amount kgN/ha,Sand %,Clay %,Upper cm,Lower cm,Organic C gC/kg,pH,GS_P,GS_T
COFOARD4,COFOARD4_89E,COFOARD4_DM+A,Zea mays (Corn),5386,NA,2013,Strip Till,None,No,383,10.6,346.33,40.9,33.7,0,7.6,13.4324483,NA,270.7645415,16.7915157
COFOARD4,COFOARD4_89C,COFOARD4_SUPRU,Zea mays (Corn),5300,NA,2013,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,13.4324483,NA,270.7645415,16.7915157
COFOARD4,COFOARD4_89B,COFOARD4_Urea,Zea mays (Corn),5188,NA,2013,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,13.4324483,NA,270.7645415,16.7915157
COFOARD4,COFOARD4_85A,COFOARD4_DM,Zea mays (Corn),5129,NA,2014,Strip Till,None,No,383,10.6,445.21,40.9,33.7,0,7.6,10.167621,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_85B,COFOARD4_DM+A,Zea mays (Corn),5068,NA,2014,Strip Till,None,No,383,10.6,422.79,40.9,33.7,0,7.6,10.167621,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_85D,COFOARD4_SUPRU,Zea mays (Corn),4658,NA,2014,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,10.167621,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_85C,COFOARD4_Urea,Zea mays (Corn),4549,NA,2014,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,10.167621,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_86A,COFOARD4_DM,Zea mays (Corn),5129,NA,2014,Strip Till,None,No,383,10.6,422.79,40.9,33.7,0,7.6,11.62756533,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_86B,COFOARD4_DM+A,Zea mays (Corn),5068,NA,2014,Strip Till,None,No,383,10.6,445.21,40.9,33.7,0,7.6,11.62756533,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_86C,COFOARD4_SUPRU,Zea mays (Corn),4658,NA,2014,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,11.62756533,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_86D,COFOARD4_Urea,Zea mays (Corn),4549,NA,2014,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,11.62756533,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_88C,COFOARD4_CHECK,Zea mays (Corn),3462,NA,2014,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,12.28777392,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_88E,COFOARD4_DM,Zea mays (Corn),5129,NA,2014,Strip Till,None,No,383,10.6,422.79,40.9,33.7,0,7.6,12.28777392,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_88D,COFOARD4_DM+A,Zea mays (Corn),5068,NA,2014,Strip Till,None,No,383,10.6,445.21,40.9,33.7,0,7.6,12.28777392,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_88A,COFOARD4_SUPRU,Zea mays (Corn),4658,NA,2014,Strip Till,None,No,383,10.6,358.68,40.9,33.7,0,7.6,12.28777392,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_89D,COFOARD4_DM,Zea mays (Corn),5129,NA,2014,Strip Till,None,No,383,10.6,422.79,40.9,33.7,0,7.6,13.4324483,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_89E,COFOARD4_DM+A,Zea mays (Corn),5068,NA,2014,Strip Till,None,No,383,10.6,445.21,40.9,33.7,0,7.6,13.4324483,NA,271.7805436,16.49013358
COFOARD4,COFOARD4_89B,COFOARD4_Urea,Zea mays (Corn),4549,NA,2014,Strip Till,None,No,383,10.6,179.34,40.9,33.7,0,7.6,13.4324483,NA,271.7805436,16.49013358
IAAM7071,IAAM7071_115,IAAM7071_1,Zea mays (Corn),4271.366141,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,21.9377,5.7,861.568,18.28318237
IAAM7071,IAAM7071_208,IAAM7071_1,Zea mays (Corn),3847.743636,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,21.7346,5.4,861.568,18.28318237
IAAM7071,IAAM7071_322,IAAM7071_1,Zea mays (Corn),3713.205841,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,29.9506,5.7,861.568,18.28318237
IAAM7071,IAAM7071_420,IAAM7071_1,Zea mays (Corn),3716.129833,NA,2008,Conservation Till,None,No,862,9.22,141.68,NA,NA,0,5,19.8216,5.6,861.568,18.28318237
IAAM7071,IAAM7071_106,IAAM7071_2,Zea mays (Corn),3851.635239,NA,2008,No Till,None,No,862,9.22,141.68,NA,NA,0,5,29.9403,4.9,861.568,18.28318237
IAAM7071,IAAM7071_219,IAAM7071_2,Zea mays (Corn),3900.901483,NA,2008,No Till,None,No,862,9.22,141.68,NA,NA,0,5,30.8438,5.2,861.568,18.28318237
IAAM7071,IAAM7071_318,IAAM7071_2,Zea mays (Corn),3783.705782,NA,2008,No Till,None,No,862,9.22,141.68,NA,NA,0,5,29.6193,5.2,861.568,18.28318237
IAAM7071,IAAM7071_422,IAAM7071_2,Zea mays (Corn),3580.283889,NA,2008,No Till,None,No,862,9.22,141.68,NA,NA,0,5,31.9911,5,861.568,18.28318237
IAAM7071,IAAM7071_110,IAAM7071_3,Zea mays (Corn),3794.799012,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,25.7737,5.6,861.568,18.28318237
IAAM7071,IAAM7071_213,IAAM7071_3,Zea mays (Corn),4034.055624,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,25.6679,5.6,861.568,18.28318237
IAAM7071,IAAM7071_305,IAAM7071_3,Zea mays (Corn),3751.320457,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,24.7531,5.6,861.568,18.28318237
IAAM7071,IAAM7071_405,IAAM7071_3,Zea mays (Corn),3852.456134,NA,2008,Conservation Till,None,Partial,862,9.22,141.68,NA,NA,0,5,32.8547,5.8,861.568,18.28318237
IAAM7071,IAAM7071_116,IAAM7071_4,Zea mays (Corn),3833.587417,NA,2008,No Till,None,Partial,862,9.22,141.68,NA,NA,0,5,22.2436,4.9,861.568,18.28318237
IAAM7071,IAAM7071_206,IAAM7071_4,Zea mays (Corn),3885.072504,NA,2008,No Till,None,Partial,862,9.22,141.68,NA,NA,0,5,22.2079,4.9,861.568,18.28318237
IAAM7071,IAAM7071_304,IAAM7071_4,Zea mays (Corn),3764.93455,NA,2008,No Till,None,Partial,862,9.22,141.68,NA,NA,0,5,23.2823,4.4,861.568,18.28318237
IAAM7071,IAAM7071_414,IAAM7071_4,Zea mays (Corn),4054.021184,NA,2008,No Till,None,Partial,862,9.22,141.68,NA,NA,0,5,24.8025,6.1,861.568,18.28318237
IAAM7071,IAAM7071_119,IAAM7071_5,Zea mays (Corn),4153.296505,16774.4942,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,22.148,5.3,861.568,18.28318237
IAAM7071,IAAM7071_207,IAAM7071_5,Zea mays (Corn),3981.510985,15560.64087,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,21.0325,5.3,861.568,18.28318237
IAAM7071,IAAM7071_307,IAAM7071_5,Zea mays (Corn),3918.810812,14760.32048,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,27.3702,4.7,861.568,18.28318237
IAAM7071,IAAM7071_402,IAAM7071_5,Zea mays (Corn),3836.875815,15288.38252,2008,Conservation Till,None,Yes,862,9.22,141.68,NA,NA,0,5,21.906,4.9,861.568,18.28318237
IAAM7071,IAAM7071_120,IAAM7071_6,Zea mays (Corn),4179.446192,9692.59321,2008,No Till,None,Yes,862,9.22,141.68,NA,NA,0,5,24.5106,5,861.568,18.28318237
IAAM7071,IAAM7071_201,IAAM7071_6,Zea mays (Corn),3852.01501,8918.765941,2008,No Till,None,Yes,862,9.22,141.68,NA,NA,0,5,33.0067,5,861.568,18.28318237
IAAM7071,IAAM7071_321,IAAM7071_6,Zea mays (Corn),4045.887803,9290.213096,2008,No Till,None,Yes,862,9.22,141.68,NA,NA,0,5,23.3164,5.4,861.568,18.28318237
IAAM7071,IAAM7071_411,IAAM7071_6,Zea mays (Corn),3834.533885,8892.703816,2008,No Till,None,Yes,862,9.22,141.68,NA,NA,0,5,27.2202,4.5,861.568,18.28318237
IAAM7071,IAAM7071_114,IAAM7071_7,Zea mays (Corn),4207.034656,NA,2008,Conservation Till,None,No,862,9.22,210.12,NA,NA,0,5,23.4,5.5,861.568,18.28318237
IAAM7071,IAAM7071_209,IAAM7071_7,Zea mays (Corn),4274.065437,NA,2008,Conservation Till,None,No,862,9.22,210.12,NA,NA,0,5,21.68,5.7,861.568,18.28318237
IAAM7071,IAAM7071_316,IAAM7071_7,Zea mays (Corn),4161.134531,NA,2008,Conservation Till,None,No,862,9.22,210.12,NA,NA,0,5,22.8316,5.1,861.568,18.28318237
IAAM7071,IAAM7071_408,IAAM7071_7,Zea mays (Corn),4232.475422,NA,2008,Conservation Till,None,No,862,9.22,210.12,NA,NA,0,5,21.2825,5.3,861.568,18.28318237
IAAM7071,IAAM7071_122,IAAM7071_8,Zea mays (Corn),4000.48542,NA,2008,No Till,None,No,862,9.22,210.12,NA,NA,0,5,25,5,861.568,18.28318237
IAAM7071,IAAM7071_218,IAAM7071_8,Zea mays (Corn),4260.651424,NA,2008,No Till,None,No,862,9.22,210.12,NA,NA,0,5,31.5102,4.8,861.568,18.28318237
IAAM7071,IAAM7071_310,IAAM7071_8,Zea mays (Corn),4129.460289,NA,2008,No Till,None,No,862,9.22,210.12,NA,NA,0,5,28.8387,4.7,861.568,18.28318237
IAAM7071,IAAM7071_415,IAAM7071_8,Zea mays (Corn),4303.10378,NA,2008,No Till,None,No,862,9.22,210.12,NA,NA,0,5,28.678,5.9,861.568,18.28318237
IAAM7071,IAAM7071_105,IAAM7071_9,Zea mays (Corn),4085.340912,NA,2008,Conservation Till,None,Partial,862,9.22,210.12,NA,NA,0,5,23.5913,5.4,861.568,18.28318237
IAAM7071,IAAM7071_217,IAAM7071_9,Zea mays (Corn),4129.654386,NA,2008,Conservation Till,None,Partial,862,9.22,210.12,NA,NA,0,5,35.7214,5.1,861.568,18.28318237
IAAM7071,IAAM7071_309,IAAM7071_9,Zea mays (Corn),4316.466339,NA,2008,Conservation Till,None,Partial,862,9.22,210.12,NA,NA,0,5,25.4839,5.1,861.568,18.28318237
IAAM7071,IAAM7071_401,IAAM7071_9,Zea mays (Corn),3950.408761,NA,2008,Conservation Till,None,Partial,862,9.22,210.12,NA,NA,0,5,21.72,5.6,861.568,18.28318237
IAAM7071,IAAM7071_108,IAAM7071_10,Zea mays (Corn),4187.850137,NA,2008,No Till,None,Partial,862,9.22,210.12,NA,NA,0,5,26.19,5,861.568,18.28318237
IAAM7071,IAAM7071_221,IAAM7071_10,Zea mays (Corn),3852.321697,NA,2008,No Till,None,Partial,862,9.22,210.12,NA,NA,0,5,22.7876,5.3,861.568,18.28318237
IAAM7071,IAAM7071_317,IAAM7071_10,Zea mays (Corn),4252.771256,NA,2008,No Till,None,Partial,862,9.22,210.12,NA,NA,0,5,23.5036,5.3,861.568,18.28318237
IAAM7071,IAAM7071_410,IAAM7071_10,Zea mays (Corn),4325.331746,NA,2008,No Till,None,Partial,862,9.22,210.12,NA,NA,0,5,22.2,4.4,861.568,18.28318237
IAAM7071,IAAM7071_118,IAAM7071_11,Zea mays (Corn),4105.81786,17537.35103,2008,Conservation Till,None,Yes,862,9.22,210.12,NA,NA,0,5,22.43,5.3,861.568,18.28318237
IAAM7071,IAAM7071_220,IAAM7071_11,Zea mays (Corn),4345.280278,17027.71278,2008,Conservation Till,None,Yes,862,9.22,210.12,NA,NA,0,5,26.9283,5.3,861.568,18.28318237
IAAM7071,IAAM7071_313,IAAM7071_11,Zea mays (Corn),4571.607092,17712.32566,2008,Conservation Till,None,Yes,862,9.22,210.12,NA,NA,0,5,22.8258,4.9,861.568,18.28318237
IAAM7071,IAAM7071_404,IAAM7071_11,Zea mays (Corn),4180.755984,16051.28429,2008,Conservation Till,None,Yes,862,9.22,210.12,NA,NA,0,5,29.669,5.2,861.568,18.28318237
IAAM7071,IAAM7071_121,IAAM7071_12,Zea mays (Corn),4082.578111,9778.630206,2008,No Till,None,Yes,862,9.22,210.12,NA,NA,0,5,20.02,5.5,861.568,18.28318237
